Type,ID,SKU/SELECTION,NAME/DESCRIPTION,UNIT,QYT,Brands,Attribute 1 value(s),PRICE,WHOLESALE PRICE,VAT  TYPE,DISC %,DISCOUNT,EXCLUSIVE,VAT,TOTAL,Description ( WEBSITE ),Categories
simple,30710,K-MSK-FFP1-Dro,FFP1 (20 Per box),,,Dromex,Quantity: 1x20,"R 6,345.00","R 5,875.00",,,,,,,"Dromex FFP1 Disposable Dust Mask (Box of 20) - entry-level particulate filtering respirator providing minimum 80% filtration efficiency against non-toxic dust particles down to 0.3 microns. Suitable for protection against nuisance dusts in woodworking, construction, and light industrial environments. Adjustable nose clip and elastic straps ensure comfortable seal during extended wear in low-hazard dust-generating activities.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,30711,K-MSK-FFP2-Dro,FFP2 (20 Per box),,,Dromex,Quantity: 1x20,R 81.00,R 75.00,,,,,,,"Dromex FFP2 Respirator (Box of 20) - professional respiratory protection filtering minimum 94% of airborne particles including fine dust, water-based aerosols, and biological agents. Equivalent to N95 standard, providing effective protection against respiratory droplets and industrial particulates. Three-layer construction with adjustable nose bridge ensures proper facial seal for healthcare workers and industrial environments.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,30712,K-MSK-FFP2V-Dro,FFP2V (20 Per box),,,Dromex,Quantity: 1x20,"R 1,134.00",R 105.00,,,,,,,"Dromex FFP2 Respirator (Box of 20) - professional respiratory protection filtering minimum 94% of airborne particles including fine dust, water-based aerosols, and biological agents. Equivalent to N95 standard, providing effective protection against respiratory droplets and industrial particulates. Three-layer construction with adjustable nose bridge ensures proper facial seal for healthcare workers and industrial environments.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,30713,K-MSK-FFP2FF-Dro,Flat Fold FFP 2 (40 Per box),,,Dromex,Quantity: 1x20,R 100.00,R 925.00,,,,,,,"Dromex Flat Fold FFP2 Respirator (Box of 20) - space-efficient flat-folding design enabling compact storage in toolboxes and pockets when not in use. Unfolds to provide full FFP2 protection with 94% filtration efficiency against fine particulates and aerosols. The vertical fold design accommodates various face shapes while maintaining proper seal, suitable for construction workers and maintenance personnel.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,30715,K-MSK-FFP2FFV-Dro,Flat Fold FFP 2 V (20 Per box),,,Dromex,Quantity: 1x20,R 702.00,R 65.00,,,,,,,"Dromex Flat Fold FFP2 Respirator (Box of 20) - space-efficient flat-folding design enabling compact storage in toolboxes and pockets when not in use. Unfolds to provide full FFP2 protection with 94% filtration efficiency against fine particulates and aerosols. The vertical fold design accommodates various face shapes while maintaining proper seal, suitable for construction workers and maintenance personnel.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,30716,K-MSK-FFP3FF-Dro,Flat Fold 3 (20 Per box),,,Dromex,Quantity: 1x20,R 145.00,R 135.00,,,,,,,"Flat Fold 3 (20 Per box) by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","Safety Wear & Equipment > Masks, PPE > Masks, PPE, Safety Wear & Equipment"
simple,30717,K-MSK-FFP3FFV-Dro,Flat Fold 3 V (20 Per box),,,Dromex,Quantity: 1x20,R 159.00,R 145.00,,,,,,,"Flat Fold 3 V (20 Per box) by Dromex - professional product designed for specific applications. Contact supplier for detailed specifications, usage guidelines, and technical information.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,30718,K-MSK-FFP2FFAC-Dro,Flat Fold FFP 2 Active Carbon (20 Per box),,,Dromex,Quantity: 1x20,R 129.00,R 119.00,,,,,,,"Dromex Flat Fold FFP2 Active Carbon Respirator (Box of 20) - FFP2 respirator enhanced with activated carbon layer providing dual protection against 94% of particulates plus nuisance-level organic vapors and odors. Ideal for painting contractors, varnishing operations, and light solvent exposure where both particle filtration and odor control enhance worker comfort and safety.","Safety Wear & Equipment > Masks, PPE > Masks, PPE, Safety Wear & Equipment"
simple,30720,K-MSK-FFP3FFAC-Dro,Flat Fold FFP 3 Active Carbon Valve per mask,,,Dromex,Quantity: 1x20,R 45.00,R 42.00,,,,,,,"Dromex Flat Fold FFP3 Active Carbon Valve Respirator price per mask (Comes in a box of 20) - maximum respiratory protection filtering 99% of particles while activated carbon layer absorbs toxic fumes and organic vapors. Exhalation valve reduces breathing effort during demanding industrial operations involving both particulate and chemical hazards. Essential for pesticide application, hazardous spray painting, and chemical processing requiring comprehensive respiratory defense.","PPE > Masks, Safety Wear & Equipment > Masks, PPE, Safety Wear & Equipment"
simple,31886-7,55M-Y-7,Seamless Knitwrist Liner TaeKi5 seamless Heat & Cut gloves Dromex - Size 7,,,Dromex,Size: 7,R 33.00,R 32.00,,,,,,,"TaeKi5 seamless Heat & Cut gloves, Size: 7 | 8 | 9 | 10 by Dromex","Workwear & PPE > Gloves, Workwear & PPE"
