Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
K-MSK-FFP1-Dro,FFP1 (20 Per Box),,True,1,6345.0,7296.75,5875.0,6756.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP2-Dro,FFP2 (20 Per Box),,True,1,81.0,93.15,75.0,86.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP2V-Dro,FFP2V (20 Per Box),,True,1,1134.0,1304.1,105.0,120.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP2FF-Dro,Flat Fold FFP 2 (40 Per Box),,True,1,100.0,115.0,925.0,1063.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP2FFV-Dro,Flat Fold FFP 2 V (20 Per Box),,True,1,702.0,807.3,65.0,74.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP3FF-Dro,Flat Fold 3 (20 Per Box),,True,1,145.0,166.75,135.0,155.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP3FFV-Dro,Flat Fold 3 V (20 Per Box),,True,1,159.0,182.85,145.0,166.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP2FFAC-Dro,Flat Fold FFP 2 Active Carbon (20 Per Box),,True,1,129.0,148.35,119.0,136.85,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
K-MSK-FFP3FFAC-Dro,Flat Fold FFP 3 Active Carbon Valve Per Mask,,True,1,45.0,51.75,42.0,48.3,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55M-Y-7,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,True,1,23.712,27.2688,22.724,26.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55M-Y-8,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,True,1,23.712,27.2688,22.724,26.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55M-Y-9,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,True,1,23.712,27.2688,22.724,26.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
55M-Y-10,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,True,1,23.712,27.2688,22.724,26.13,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
59YSP-8,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,True,1,50.22,57.753,48.1275,55.35,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
59YSP-9,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,True,1,50.22,57.753,48.1275,55.35,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
59YSP-10,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,True,1,50.22,57.753,48.1275,55.35,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
59YSP-11,Dromex Seamless Liner TaeKi5 Super Latex Grip & Cut Resistant Glove,,True,1,50.22,57.753,48.1275,55.35,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
58SC-9,"Dromex Safet Cut Taeki5 Hi Viz Nitrile Coated, Safety Cuff Glove",,True,1,50.22,57.753,48.1275,55.35,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
58SC-10,"Dromex Safet Cut Taeki5 Hi Viz Nitrile Coated, Safety Cuff Glove",,True,1,50.22,57.753,48.1275,55.35,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
57H201B-10,"Dromex Safety Cuff TaeKi5 Rough Coated Nitrile, Safety Cuff",,True,1,153.456,176.4744,147.062,169.12,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
57H201PLUS-8,"Dromex TaeKi5 Heat & Cut, Glove with HCT",,True,1,195.312,224.6088,187.174,215.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
57H201PLUS-9,"Dromex TaeKi5 Heat & Cut, Glove with HCT",,True,1,195.312,224.6088,187.174,215.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
57H201PLUS-10,"Dromex TaeKi5 Heat & Cut, Glove with HCT",,True,1,195.312,224.6088,187.174,215.25,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
#57-7,Dromex with TaeKi5 Nitrile Palm Coated on,,True,1,46.032,52.9368,44.114,50.73,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
#57-8,Dromex with TaeKi5 Nitrile Palm Coated on,,True,1,46.032,52.9368,44.114,50.73,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
#57-9,Dromex with TaeKi5 Nitrile Palm Coated on,,True,1,46.032,52.9368,44.114,50.73,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
#57-10,Dromex with TaeKi5 Nitrile Palm Coated on,,True,1,46.032,52.9368,44.114,50.73,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
#57-11,Dromex with TaeKi5 Nitrile Palm Coated on,,True,1,46.032,52.9368,44.114,50.73,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
#57-12,Dromex with TaeKi5 Nitrile Palm Coated on,,True,1,46.032,52.9368,44.114,50.73,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
52J-8-CAM,Dromex Camoflage TaeKi5,,True,1,55.8,64.17,53.475,61.5,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
