sku,retail_price,wholesale_price
K-MSK-FFP1-Dro,6345,5875
K-MSK-FFP2-Dro,81,75
K-MSK-FFP2V-Dro,1134,105
K-MSK-FFP2FF-Dro,100,925
K-MSK-FFP2FFV-Dro,702,65
K-MSK-FFP3FF-Dro,145,135
K-MSK-FFP3FFV-Dro,159,145
K-MSK-FFP2FFAC-Dro,129,119
K-MSK-FFP3FFAC-Dro,45,42
55M-Y-7,23.712,22.724
55M-Y-8,23.712,22.724
55M-Y-9,23.712,22.724
55M-Y-10,23.712,22.724
59YSP-8,50.22,48.1275
59YSP-9,50.22,48.1275
59YSP-10,50.22,48.1275
59YSP-11,50.22,48.1275
58SC-9,50.22,48.1275
58SC-10,50.22,48.1275
57H201B-10,153.456,147.062
57H201PLUS-8,195.312,187.174
57H201PLUS-9,195.312,187.174
57H201PLUS-10,195.312,187.174
#57-7,46.032,44.114
#57-8,46.032,44.114
#57-9,46.032,44.114
#57-10,46.032,44.114
#57-11,46.032,44.114
#57-12,46.032,44.114
52J-8-CAM,55.8,53.475
52J-9-CAM,55.8,53.475
52J-10-CAM,55.8,53.475
52J-11-CAM,55.8,53.475
52LSTPV-8,107.25,93.587
52LSTPV-9,107.25,93.587
52LSTPV-10,107.25,93.587
DG-HFM305-6,71.5,66.8495
DG-HFM305-7,71.5,68.75
DG-HFM305-8,71.5,68.75
DG-HFM305-9,71.5,68.75
DG-HFM305-10,71.5,68.75
DG-HFM305-11,71.5,68.75
DG-HFM606-7,111.6,106.95
DG-HFM606-8,111.6,106.95
DG-HFM606-9,111.6,106.95
DG-HFM606-10,111.6,106.95
DG-HFM606-11,111.6,106.95
DG-OIL-TECH-10,70,67
DG-OIL-TECH-11,68.4,65.55
DG-OILTECH-KW-8,62.92,60.5
DG-OILTECH-KW-9,62.92,60.5
DG-OILTECH-KW-10,62.92,60.5
ULTICHEM-8,83,80
ULTICHEM-9,79.512,76.199
ULTICHEM-10,79.512,76.199
ULTICHEMPLUS-8,171.6,165
ULTICHEMPLUS-9,171.6,165
ULTICHEMPLUS-10,171.6,165
1956-6,15,16.15625
1956-7,15,16.15625
1956-8,15,16.15625
1956-9,15,16.15625
1956-10,15,16.15625
VIPER-9,42.9,41.25
VIPER-10,47.19,41.25
VIPERPLUS-9,104,100
VIPERPLUS-10,104,100
H1-40-BLKO,30.745,29.5625
H2-40-BLKO,39.325,37.8125
H2-55-BLKO,50.05,48.125
55LF-7,78.65,75.625
55LF-8,78.65,75.625
55LF-9,78.65,75.625
55LF-10,78.65,75.625
55LF-11,78.65,75.625
RTCMG-XS-G,1444,1502
RTCMG-S-G,1444,1502
RTCMG-M-G,1444,1502
RTCMG-L-G,1444,1502
RTCMG-XL-G,1444,1502
50-135TY,50.05,48.125
50-60THV,78.65,75.625
TAEKI-APRON-60120,772,743
TAEKI-JACKET,2059,1980
MIIZU300BLU-7-B,15.3725,14.78125
MIIZU300BLU-8-B,15.3725,14.78125
MIIZU300BLU-9-B,15.3725,14.78125
MIIZU300BLU-10-B,15.3725,14.78125
MIIZU300BLU-11-B,15.3725,14.78125
MIIZU300HI-6-G,15.3725,14.78125
MIIZU300HI-7-G,15.3725,14.78125
MIIZU300HI-8-G,15.3725,14.78125
MIIZU300HI-9-G,15.3725,14.78125
MIIZU300HI-10-G,15.3725,14.78125
MIIZU300HI-11-G,15.3725,14.78125
MIIZULFM4001W-7-BLK,44.33,42.625
MIIZULFM4001W-8-BLK,44.33,42.625
MIIZULFM4001W-9-BLK,44.33,42.625
MIIZULFM4001W-10-BLK,44.33,42.625
PU5-7,27.43,26.375
PU5-8,27.43,26.375
PU5-9,27.43,26.375
PU5-10,27.43,26.375
DG-NE423AF-7-BLK,500.5,481.25
DG-NE423AF-8-BLK,500.5,481.25
DG-NE423AF-9-BLK,500.5,481.25
DG-NE423AF-10-BLK,500.5,481.25
DG-NE423AF-11-BLK,500.5,481.25
DG-NE423AF-12-BLK,500.5,481.25
DG-NE423AF-13-BLK,500.5,481.25
DG-ARC55-S,930,894
