product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image,URL,Attributes_origenal,attributes,Price,Regular,Price.1,Sale,Price.2,type,images,variant,description,short_description,stock,brand_slug
1,K-MSK-FFP1-Dro,FFP1 (20 Per Box),,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/04/1.png,,"Dromex FFP1 Disposable Dust Mask (Box of 20) - entry-level particulate filtering respirator providing minimum 80% filtration efficiency against non-toxic dust particles down to 0.3 microns. Suitable for protection against nuisance dusts in woodworking, construction, and light industrial environments. Adjustable nose clip and elastic straps ensure comfortable seal during extended wear in low-hazard dust-generating activities.","Entry-level disposable dust mask offering basic particulate protection, box of 20.",10,dromex
2,K-MSK-FFP2-Dro,FFP2 (20 Per Box),,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/04/1.png,,"Dromex FFP2 Respirator (Box of 20) - professional respiratory protection filtering minimum 94% of airborne particles including fine dust, water-based aerosols, and biological agents. Equivalent to N95 standard, providing effective protection against respiratory droplets and industrial particulates. Three-layer construction with adjustable nose bridge ensures proper facial seal for healthcare workers and industrial environments.","FFP2 respirator providing 94% filtration against dust, aerosols and biological particles.",10,dromex
3,K-MSK-FFP2V-Dro,FFP2V (20 Per Box),,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/04/1.png,,"Dromex FFP2 Respirator (Box of 20) - professional respiratory protection filtering minimum 94% of airborne particles including fine dust, water-based aerosols, and biological agents. Equivalent to N95 standard, providing effective protection against respiratory droplets and industrial particulates. Three-layer construction with adjustable nose bridge ensures proper facial seal for healthcare workers and industrial environments.",FFP2 respirator with exhalation valve for added breathing comfort during extended wear.,10,dromex
4,K-MSK-FFP2FF-Dro,Flat Fold FFP 2 (40 Per Box),,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/02/imgi_17_qsa2010-600x600-1-300x300-29.jpg,,"Dromex Flat Fold FFP2 Respirator (Box of 20) - space-efficient flat-folding design enabling compact storage in toolboxes and pockets when not in use. Unfolds to provide full FFP2 protection with 94% filtration efficiency against fine particulates and aerosols. The vertical fold design accommodates various face shapes while maintaining proper seal, suitable for construction workers and maintenance personnel.",Flat-folding FFP2 respirator for compact storage with 94% filtration efficiency.,10,dromex
5,K-MSK-FFP2FFV-Dro,Flat Fold FFP 2 V (20 Per Box),,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/02/dr-qsa-2021_hr-1.jpg,,"Dromex Flat Fold FFP2 Respirator (Box of 20) - space-efficient flat-folding design enabling compact storage in toolboxes and pockets when not in use. Unfolds to provide full FFP2 protection with 94% filtration efficiency against fine particulates and aerosols. The vertical fold design accommodates various face shapes while maintaining proper seal, suitable for construction workers and maintenance personnel.",Flat-folding FFP2 respirator with exhalation valve for compact storage and easy breathing.,10,dromex
6,K-MSK-FFP3FF-Dro,Flat Fold 3 (20 Per Box),,"masks-safety-wear-and-equipment, masks-ppe, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/04/1.png,,"The Dromex Flat Fold FFP3 Respirator (Box of 20) offers superior respiratory protection with a space-saving flat-fold design for easy storage in pockets or toolboxes. It filters a minimum of 99% of airborne particles down to 0.3 microns, providing maximum protection against fine dust and hazardous particulates. Suitable for high-risk industrial, demolition and healthcare environments where superior filtration is required.","Flat-folding FFP3 respirator offering maximum particulate filtration, box of 20.",10,dromex
7,K-MSK-FFP3FFV-Dro,Flat Fold 3 V (20 Per Box),,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/04/1.png,,"The Dromex Flat Fold FFP3 Respirator with Valve (Box of 20) combines maximum particulate filtration with an exhalation valve for improved breathing comfort during extended wear. Its flat-fold design allows for compact storage while still unfolding to provide full FFP3-rated protection. Ideal for demolition, mining and healthcare settings requiring the highest level of respiratory defence.",Flat-folding FFP3 respirator with exhalation valve for maximum filtration and comfort.,10,dromex
8,K-MSK-FFP2FFAC-Dro,Flat Fold FFP 2 Active Carbon (20 Per Box),,"masks-safety-wear-and-equipment, masks-ppe, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/02/imgi_69_1121c-sl-600x600-1-450x450-29.jpg,,"Dromex Flat Fold FFP2 Active Carbon Respirator (Box of 20) - FFP2 respirator enhanced with activated carbon layer providing dual protection against 94% of particulates plus nuisance-level organic vapors and odors. Ideal for painting contractors, varnishing operations, and light solvent exposure where both particle filtration and odor control enhance worker comfort and safety.",FFP2 respirator with activated carbon layer for combined particulate and odour protection.,10,dromex
9,K-MSK-FFP3FFAC-Dro,Flat Fold FFP 3 Active Carbon Valve Per Mask,,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Quantity"":""1x20""}",,,,,,,/04/1.png,,"Dromex Flat Fold FFP3 Active Carbon Valve Respirator price per mask (Comes in a box of 20) - maximum respiratory protection filtering 99% of particles while activated carbon layer absorbs toxic fumes and organic vapors. Exhalation valve reduces breathing effort during demanding industrial operations involving both particulate and chemical hazards. Essential for pesticide application, hazardous spray painting, and chemical processing requiring comprehensive respiratory defense.",FFP3 respirator with carbon layer and exhalation valve for maximum respiratory protection.,10,dromex
10,55M-Y-7,Dromex Seamless Liner TaeKi5 Seamless Heat & Cut Gloves,,"gloves-workwear-and-ppe, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""7""}",,,,,,,/02/imgi_103_dromex_gloves_55M-768x768-1-450x450-9.jpg,,TaeKi5 seamless Heat & Cut gloves by Dromex.,Seamless TaeKi5 glove liner offering heat and cut resistance for demanding handling tasks.,10,dromex
