product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image URL,Attributes_origenal,attributes,Price,Regular Price,Sale Price,type,images,variant,description,short_description,stock,brand_slug
destiny-premium-sanitary-pads-8-pack,PP161,Destiny Premium Sanitary Pads 8 Pack,"Disposables, Hygiene Protection, PPE, Sanitary Pads","disposables, hygiene-protection, ppe, sanitary-pads",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-24-at-11.45.25.jpeg,['Colour:'],"{""Colour"": """"}",20,20,,0,/04/WhatsApp-Image-2026-04-24-at-11.45.25.jpeg,0,,,0,hygiene-protection
destiny-everyday-sanitary-pads-10-pack,EP160,Destiny Everyday Sanitary Pads 10 Pack,"Disposables, Hygiene Protection, PPE, Sanitary Pads","disposables, hygiene-protection, ppe, sanitary-pads",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-24-at-11.45.26.jpeg,['Colour:'],"{""Colour"": """"}",20,20,,0,/04/WhatsApp-Image-2026-04-24-at-11.45.26.jpeg,0,,,0,hygiene-protection
hi-baby-every-day-baby-diapers-20-nappies-xl,BN216,Hi Baby Every Day Baby Diapers - 20 Nappies - XL,"Disposables, Hygiene Protection, Nappies, PPE","disposables, hygiene-protection, nappies, ppe",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Hi_Baby_Regular_XL.jpg,['Colour:'],"{""Colour"": """"}",60,60,,0,/04/Hi_Baby_Regular_XL.jpg,0,,,0,hygiene-protection
hi-baby-every-day-baby-diapers-20-nappies-medium,BN214,Hi Baby Every Day Baby Diapers - 20 Nappies - Medium,"Disposables, Hygiene Protection, Nappies, PPE","disposables, hygiene-protection, nappies, ppe",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Hi_Baby_Regular_Medium.jpg,['Colour:'],"{""Colour"": """"}",60,60,,0,/04/Hi_Baby_Regular_Medium.jpg,0,,,0,hygiene-protection
hi-baby-every-day-baby-diapers-20-nappies-small,BN213,Hi Baby Every Day Baby Diapers - 20 Nappies - Small,"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Hi_Baby_Regular_Small.jpg,['Colour:'],"{""Colour"": """"}",60,60,,0,/04/Hi_Baby_Regular_Small.jpg,0,,,0,hygiene-protection
certainty-adult-pull-up-10-nappies-xxl,CP107,"Certainty Adult Pull Up 10 Nappies, XXL","Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/38ba280cb00f4d7eb32eae20254dc124-goods.avif,['Colour:'],"{""Colour"": """"}",125,125,,0,/04/38ba280cb00f4d7eb32eae20254dc124-goods.avif,0,,,0,hygiene-protection
certainty-adult-pull-up-10-nappies-xl,CP106,"Certainty Adult Pull Up 10 Nappies, XL","Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Adult_Diapers_Large.jpeg,['Colour:'],"{""Colour"": """"}",125,125,,0,/04/Certainty_Adult_Diapers_Large.jpeg,0,,,0,hygiene-protection
certainty-adult-pull-up-10-nappies-large,CP105,"Certainty Adult Pull Up 10 Nappies, Large","Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Diaper_PullUps-1.avif,['Colour:'],"{""Colour"": """"}",125,125,,0,/04/Certainty_Diaper_PullUps-1.avif,0,,,0,hygiene-protection
certainty-adult-pull-up-10-nappies-medium,CP104,"Certainty Adult Pull Up 10 Nappies, Medium","Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/da052cdd107e47c097b20dbcdc1d5d92-goods.jpg,['Colour:'],"{""Colour"": """"}",125,125,,0,/04/da052cdd107e47c097b20dbcdc1d5d92-goods.jpg,0,,,0,hygiene-protection
certainty-unisex-super-absorbent-diapers-medium-adult-diapers-s-10-pieces,BN215-4,Certainty Unisex Super Absorbent Diapers Medium Adult Diapers - S (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/s-unisex-super-absorbent-diapers-small-pack-certainty-original-imahkyebtmgjbhnq.jpeg,['Colour:'],"{""Colour"": """"}",100,100,,0,/04/s-unisex-super-absorbent-diapers-small-pack-certainty-original-imahkyebtmgjbhnq.jpeg,0,,,0,hygiene-protection
certainty-unisex-super-absorbent-diapers-medium-adult-diapers-xl-10-pieces,BN215-3,Certainty Unisex Super Absorbent Diapers Medium Adult Diapers - XL (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Adult_Diapers_XL.jpg,['Colour:'],"{""Colour"": """"}",100,100,,0,/04/Certainty_Adult_Diapers_XL.jpg,0,,,0,hygiene-protection
certainty-unisex-super-absorbent-diapers-medium-adult-diapers-l-10-pieces,BN215-2,Certainty Unisex Super Absorbent Diapers Medium Adult Diapers - L (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Adult_Diapers_Large.jpg,['Colour:'],"{""Colour"": """"}",100,100,,0,/04/Certainty_Adult_Diapers_Large.jpg,0,,,0,hygiene-protection
baby-softy-wet-wipes-80,W560,Baby Softy Wet Wipes 80,"Cleaning &amp; Equipment, Disposables, Kids Products","disposables-cleaning-equipment, disposables-2, kids-products",disposables-cleaning-equipment,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/cf24634d-2d12-4255-9f6e-bccf11d43bf8.jpeg,['Colour:'],"{""Colour"": """"}",15,15,,0,/04/cf24634d-2d12-4255-9f6e-bccf11d43bf8.jpeg,0,,,0,hygiene-protection
certainty-unisex-super-absorbent-diapers-medium-adult-diapers-m-10-pieces,BN215-1,Certainty Unisex Super Absorbent Diapers Medium Adult Diapers - M  (10 Pieces),"Hygiene Protection, Nappies","hygiene-protection, nappies",hygiene-protection,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/04/Certainty_Adult_Diapers_M.jpg,['Colour:'],"{""Colour"": """"}",100,100,,0,/04/Certainty_Adult_Diapers_M.jpg,0,,,0,hygiene-protection
undiluted-100-pure-extra-virgin-olive-oil-5l,AOO-001-5l,UNDILUTED 100% PURE EXTRA VIRGIN OLIVE OIL - 5L,"Catering, Food Products","catering-food-products, food-products",catering-food-products,,,https://uvhholdings.co.za/wp-content/uploads/2026/04/1.png,['Colour:'],"{""Colour"": """"}",1650,1650,,0,/04/1.png,0,,,0,UNDEFINED
