sku,retail_price,wholesale_price
PP161,20,20
EP160,20,20
BN216,60,60
BN214,60,60
BN213,60,60
CP107,125,125
CP106,125,125
CP105,125,125
CP104,125,125
BN215-4,100,100
BN215-3,100,100
BN215-2,100,100
W560,15,15
BN215-1,100,100
AOO-001-5l,1650,1650
AD110-4,115,115
AD110-3,115,115
AD110-2,115,115
AD110-1,115,115
AD110,115,115
BN215,60,60
W291,25,25
APP-SCRUB-RE,496.34,496.34
APP-ISO-GN,23.24,23.24
APP-LAB-CT,41.5,41.5
APP-THEAT-ST,64.74,64.74
APP-SURG-NS-50,38.18,38.18
APP-PAT-GN,29.88,29.88
COV-56-BSTR,35.9,35.9
COV-SP-AS,,
COV-SP-OXF,,
COV-PP-DISP,,
COV-REUSE-GEN,166,166
COV-NW-DISP,41.5,41.5
COV-5B6B-65,,
COV-SPUN-50,32.37,32.37
COV-SPUN-40,27.39,27.39
COV-SPUN-30,25.73,25.73
OM-SB-20L,138.34,138.34
OM-SB-10L,69.72,69.72
OM-SB-5L,63.58,63.58
OM-SB-2.5L,61.25,61.25
OM-SB-2.5L-2,61.25,61.25
OM-SB-1L,46.31,46.31
13-100070,315,315
13-100501,52,52
13-100501-2,52,52
13-100501-3,52,52
13-100265,,
DV-1A,11,11
ACE-ONE-60x120,135,135
ACE-ONE-60x90,109,109
DG-OV-LXL,279,279
DG-OV-LXL-2,279,279
GPVC/35,16,16
GPVC/27,14,14
GPVC/40/HG,25,25
CRONUS/RGE,25,25
XTRA/35,33,33
XTRA/27,28,28
WELD-16GR,129,129
WELD-6GR,58,58
WELD/6,39,39
S002,140,140
DB-0060-RBG-HW-B,345,345
DB-0060-RBG-HW-B-2,345,345
DB-0060-BK-OD-B,115,115
MOB-CAP-24PLUS,49,49
V023Y,55,55
JS001,550,550
JS002,590,590
JS006,480,480
JS005,1690,1690
JS004,690,690
JS003,550,550
GF002,310,310
GF001,200,200
TS002,370,370
TS001,180,180
L002,213,213
BW03,351,351
BW02,273,273
BW01,231,231
EP014,116,116
EP013,63,63
TC700-P-LIME,290,290
TC450-P-LIME,175,175
TC-750,328,328
TC-400,123,123
TC001,365,365
TC1800-P,1180,1180
TC900-P,294,294
TC700-P,224,224
TC450-P,132,132
TC300-P,92,92
TC1000-E,262,262
TC750-E,172,172
TC500-E,104,104
EP033,119,119
EP032,902,902
EP031,902,902
EP030,902,902
BT500-YB,109,109
BT-500,109,109
BT-100,39,39
EP009-YO,310,310
EP009,455,455
EP008,334,334
WET-FLOOR,113,113
RAGS-POLO,125,125
SEC005,20,20
SEC003,88,88
SEC002,364,364
RS011,441,441
RS009-3,301,301
RS009-2,728,728
RS009-1,259,259
RS009,686,686
A038,287,287
A039,67,67
A037,161,161
A065,115,115
A036-K1,144,144
A036,156,156
A034,103,103
BAG003,445,445
BAG002,276,276
BAG001,258,258
LEG02,553,553
LEG01,693,693
BELT009,539,539
BELT008,441,441
BELT007,385,385
BELT006,161,161
BELT005,140,140
BELT004,105,105
BELT003,76,76
BELT002,91,91
BELT001,91,91
FAP013,11749,11749
FAP012,9398,9398
FAP011,6108,6108
FAP010,5482,5482
FAP009,4074,4074
FAP008,3710,3710
FAP017,868,868
FAP016,714,714
FAP007,73,73
FAP006,98,98
FAP015,3150,3150
FAP014,1863,1863
FAP005,1162,1162
FAP018,420,420
FAP004,672,672
FAP003,588,588
FAP002,567,567
FAP001,476,476
G058,44,44
G007-S,24,24
G102,146,146
HD02,806,806
HD01,22,22
GCLIP01,21,21
G067,1418,1418
G160,1076,1076
G101,165,165
G104,100,100
G105,80,80
G034-S,11,11
G034,13,13
G172,14,14
G171,15,15
G170,11,11
G034-G,6,6
G050-800,11,11
G050,5,5
G126,26,26
G056,16,16
G055,15,15
G059,122,122
G076,133,133
G054,132,132
G051,132,132
G036,119,119
G036-T,83,83
G043,126,126
G042,43,43
G018,20,20
G035,18,18
G040,38,38
G039,36,36
G084,28,28
G089,16,16
G004,16,16
G021,16,16
G033,31,31
G049,28,28
G031,13,13
G047,113,113
G046,38,38
G045,35,35
G032,34,34
G002,30,30
G017,24,24
G041-30,110,110
G041,84,84
G631,73,73
G630,70,70
G085,48,48
G088,77,77
G081,159,159
G080,72,72
G079,66,66
G078,60,60
G077,45,45
G096,39,39
G016-G,57,57
G014-G,52,52
G013-G,41,41
G016-S,62,62
G015,40,40
G016,36,36
G014,25,25
G013,20,20
G603,237,237
G622,72,72
G621,63,63
G092,75,75
G091,66,66
G095,66,66
G094,60,60
G093,43,43
G090,32,32
G004-A,76,76
G020,75,75
G010,41,41
G012-3,70,70
G012-P,52,52
G002-P-P,40,40
G006-AP,75,75
G1025,34,34
G005-AP,51,51
G006,56,56
G030,37,37
G022,74,74
G023,58,58
G012-2,77,77
G025,73,73
G012-1-3XL,73,73
G012-1,49,49
G012-1-sz9,49,49
G012-1-sz8,49,49
G072,149,149
G052,119,119
G012-3XL,102,102
G012-XL,87,87
G009,42,42
G003,52,52
G005,31,31
G1040,175,175
G029,82,82
G1026,103,103
G022-S,140,140
G022R,82,82
G023-R,85,85
G006-S,117,117
G1041,93,93
GDF02,63,63
GLOVEPAD01,147,147
G071,77,77
G400,103,103
G300,169,169
G200,271,271
G100,271,271
G099,317,317
G098,317,317
G097,172,172
G146-XL,133,133
G146-L,133,133
G145-XL,148,148
G145-L,148,148
G144,133,133
G147,80,80
G143,72,72
G1028,102,102
G2028,189,189
G804,43,43
G108,81,81
G106,51,51
G134,70,70
G133,31,31
G110,42,42
G114,75,75
G128,62,62
G109,37,37
G112,54,54
G074,40,40
G113,34,34
G111,34,34
G057,29,29
G019,15,15
G048,35,35
G606,30,30
G605,43,43
G604,28,28
G148,118,118
G142,261,261
G123,419,419
G132,159,159
G131,156,156
G103,270,270
G130,158,158
G129,224,224
G121,261,261
G122,268,268
G124S,125,125
G124O,125,125
G069,276,276
G063,214,214
G141,260,260
G140,144,144
G139,123,123
G138,108,108
G137,98,98
G117,63,63
G136,62,62
G115,133,133
G125,80,80
G118,108,108
G065,108,108
G062,82,82
G061,189,189
WH001LENS2,24,24
WH001LENS1,12,12
WH001ARC,24,24
WH001ANBQ,854,854
WH001AO,854,854
WH100,301,301
WH001ABBK,672,672
WH001ANBK,517,517
WH006P,9,9
WH006,3,3
WH005,4,4
WH005-11,4,4
WH003,4,4
WH004,4,4
WH001-HA,46,46
WH001-PION,15642,15642
WH025,116,116
WH001,38,38
WH018-COVER,113,113
WH017-COVER,113,113
WH018,207,207
WH017,207,207
WH030-COVER,42,42
WH030,118,118
WH019-ALU,102,102
WH007-COVER,42,42
WH007,73,73
SC002,11,11
SC001,7,7
SG009GL,11,11
SG009B,11,11
SG007-M,23,23
SG007-B,14,14
SG007-GL,14,14
SG007-A,14,14
SG007-G,14,14
SG007,14,14
SG006-GL,15,15
SG006-A,15,15
SG006-G,15,15
SG006,15,15
SG004-A,18,18
SG004-G,18,18
SG004,18,18
SG003,23,23
SG002,32,32
SG001-D,21,21
SG001-B,16,16
SG012GL,35,35
SG012A,35,35
SG012G,35,35
SG012,35,35
PV004-GL,40,40
PV004,40,40
PV012,43,43
PV010-GL,35,35
PV010,35,35
PV009M,37,37
PV009GL,37,37
PV009,37,37
PV008BM,67,67
PV008GL,67,67
PV008A,67,67
PV008,67,67
PV003A-AFOG,41,41
PV003-AFOG,57,57
PV003-M,38,38
PV003-GL,25,25
PV003-A,25,25
PV003-G,25,25
PV003,25,25
PV002-AFOG,36,36
SG004-BROWN,27,27
PV002-A,27,27
PV002-G,27,27
PV002,27,27
PV016,54,54
PV001-AFOG,45,45
PV001-GL,28,28
PV001-A,28,28
PV001-G,28,28
PV001,28,28
PV011,50,50
SG015,118,118
SG014GL,108,108
SG014,108,108
SG013GL,135,135
SG013,135,135
SG002-B,92,92
SG010,79,79
PV007,22,22
PV006,29,29
EP400,1231,1231
EP304,240,240
EP305,151,151
EP303,151,151
EP302,221,221
EP301,151,151
EP300,86,86
EP007,144,144
EP040,66,66
EP002,36,36
EP001-BAND,25,25
EP206,50,50
EP205,8,8
EP204,8,8
EP203,4,4
EP202,4,4
EP201,2,2
EP200,1098,1098
EP-DISP,627,627
EP001-1,4,4
EP001,4,4
WHFR02,207,207
WHFR01,664,664
SKULLCAP,39,39
SB004,131,131
SB003,123,123
SB002,131,131
SB001,123,123
H016,102,102
H015,102,102
H014,119,119
H013,119,119
H010,106,106
H008,104,104
H007,104,104
H012-R,34,34
H012-RB,34,34
H012-NB,34,34
H012-BLK,34,34
DC005,39,39
BALACAVA,56,56
H006-NAVY,96,96
H006-BLACK,96,96
CHIN04,38,38
CHIN03,36,36
CHIN02,15,15
H001-FACE,44,44
H017,490,490
TUFF,87,87
NIKKI,101,101
H001,15,15
H003,29,29
H001-LIME,34,34
H001-PINK,22,22
H001-SASOBLUE,20,20
H001-BLK,20,20
H001-GL,20,20
H001-O,20,20
H001-G,20,20
H001-R,20,20
H001-Y,20,20
H001-B,20,20
H001-W,20,20
RS010,263,263
RS008,143,143
RS007,113,113
RS004,73,73
RS003,71,71
RS002,99,99
RS005,90,90
RS006,603,603
RS001,3850,3850
EP024,49,49
EP023,34,34
EP022,4,4
EP021,3,3
EP006-1,159,159
AT7000,90,90
EP005,96,96
EP004,91,91
7863B,35,35
7863A,38,38
BGWR,203,203
BGS,274,274
BG-BATA,149,149
BG,,
EVBT003-BRN,1250,1250
EVBT003-BLK,1250,1250
EVBT002,639,639
EVBT001,649,649
PB003,465,465
KONO,395,395
PB001-BROWN,599,599
PB001-BLACK,599,599
LMD600,419,419
PNBT,425,425
CS008-50,185,185
CS008-48,177,177
CS008-46,169,169
CS008-32-44,155,155
CS010/11/14-50,185,185
CS010/11/14-48,177,177
CS010/11/14-46,169,169
CS010/11/14-32-44,155,155
CS005-52,165,165
CS005-50,159,159
CS005-48,152,152
CS005-46,146,146
CS005-32-44,115,115
BSRB,195,195
CS004,294,294
CSA60,365,365
CSA58,355,355
CSA56,339,339
CSA54,329,329
CSA52,315,315
CSA50,299,299
CSA48,289,289
CSA46,279,279
CSA32-44,249,249
CSGF60,782,782
CSGF58,755,755
CSGF56,729,729
CSGF54,699,699
CSGF52,675,675
CSGF50,645,645
CSGF48,619,619
CSGF46,592,592
CSGF32-44,539,539
CSN-J54-60,469,469
CSN-J54-58,449,449
CSN-J54-56,435,435
CSN-J54-54,419,419
CSN-J54-52,399,399
CSN-J54-50,385,385
CSN-J54-48,369,369
CSN-J54-46,355,355
CSN-J54-32-44,319,319
CS006/7-58,449,449
CS006/7-56,435,435
CS006/7-54,419,419
CS006/7-52,399,399
CS006/7-50,389,389
CS006/7-48,369,369
CS006/7-46,355,355
CS006/7-32-44,317,317
CSJ54-60,446,446
CSJ54-58,429,429
CSJ54-56,415,415
CSJ54-54,399,399
CSJ54-52,385,385
CSJ54-50,369,369
CSJ54-48,355,355
CSJ54-46,339,339
CSJ54-32-44,309,309
CSD-60,369,369
CSD-58,355,355
CSD-56,345,345
CSD-54,389,389
CSD-52,390,390
CSD-50,305,305
CSD-48,295,295
CSD-46,280,280
CSD32-44,259,259
COLORS-60,259,259
COLORS-58,250,250
COLORS-56,240,240
COLORS-54,235,235
COLORS-52,225,225
COLORS-50,215,215
COLORS-48,209,209
COLORS-46,198,198
COLORS-32-44,179,179
CSB-REF60,295,295
CSB-REF58,285,285
CSB-REF56,275,275
CSB-REF54,265,265
CSB-REF52,255,255
CSB-REF50,239,239
CSB-REF48,229,229
CSB-REF46,219,219
CSB-REF32-44,199,199
CSB60,238,238
CSB58,229,229
CSB56,225,225
CSB54,215,215
CSB52,205,205
CSB50,196,196
CSB48,189,189
CSB46,180,180
CSB32-44,165,165
KNS-NB-56,205,205
KNS-NB-54,195,195
KNS-NB-52,176,176
KNS-NB-50,169,169
KNS-NB-48,163,163
KNS-NB-46,155,155
KNS-NB-32-44,142,142
KNS-RB-56,199,199
KNS-RB-54,190,190
KNS-RB-52,175,175
KNS-RB-50,169,169
KNS-RB-48,159,159
KNS-RB-46,155,155
KNS-RB-32-44,139,139
CS002-58,325,325
CS002-56,315,315
CS002-54,305,305
CS002-52,298,298
CS002-50,279,279
CS002-48,269,269
CS002--46,255,255
CS002-32-44,235,235
CS001-58,325,325
CS001-56,315,315
CS001-54,299,299
CS001-52,290,290
CS001-50,275,275
CS001-48,265,265
CS001-46,255,255
CS001-32-44,229,229
D59BS-58,970,970
D59BS-56,850,850
D59BS-54,820,820
D59BS-52,790,790
D59BS-50,760,760
D59BS-48,725,725
D59BS-46,695,695
D59BS-32-44,630,630
D59AF-T-48,415,415
D59AF-T-46,395,395
D59AF-T-44,380,380
D59AF-T-42,359,359
D59AF-T-28-40,329,329
D59AF-J-56,445,445
D59AF-J-54,425,425
D59AF-J-52,410,410
D59AF-J-50,395,395
D59AF-J-48,375,375
D59AF-J-46,359,359
D59AF-J-32-44,325,325
PW012-S-4XL,399,399
PW011-S-4XL,399,399
PW010-S-4XL,399,399
PW009-S-4XL,399,399
PW008-S-4XL,399,399
PW014-S-4XL,419,419
PW013-S-4XL,419,419
PW007-S-4XL,419,419
PW006-S-4XL,419,419
PW005-S-4XL,419,419
PW004-S-4XL,419,419
PW003-S-4XL,419,419
TS-100CT145-GY,75,75
TS-100CT145-LY,75,75
TS-100CT145-BG,75,75
TS-100CT145-RD,75,75
TS-100CT145-RB,75,75
TS-100CT145-NB,75,75
TS-100CT145-BK,75,75
TS-100CT145-WH,75,75
A043,89,89
A042,83,83
A044,42,42
A033-BLUE,42,42
A033,42,42
A028,92,92
A004,115,115
A003,105,105
A002,18,18
A025-GREEN,44,44
A025-PINK,44,44
A025-RED,44,44
A025-BLUE,44,44
A025,44,44
PVC-APRON-B&F,109,109
PVC-APRON-ORG,49,49
PVC-APRON-BLUE,49,49
PVC-APRON-600G,49,49
PVC-APRON-HDY,49,49
PVC-APRON-HD,49,49
A100-2XL,850,850
A012-2XL-3XL,439,439
A012M-XL,439,439
A022-4XL,439,439
A022XXL-3XL,439,439
A022M-XL,439,439
A014,329,329
A013,259,259
A023-3XL,1350,1350
A023-2XL,1350,1350
A023-XL,1350,1350
A023-L,1350,1350
